OBJECTID,ACRES,FIRE_ID,FIRE_NAME,YEAR,STARTMONTH,STARTDAY,SHAPE_Length,SHAPE_Area,FIRE_TYPE
1,1520,AK5674215793820060522,MESHIK RIVER,2006,5,22,26430.8847771968,20399906.3485493,WF
2,4482,AK5759815753720050529,PILOT POINT,2005,5,29,45516.6811737415,62988382.9699414,WF
3,3419,AK5761615232120150828,TWIN CREEKS,2015,8,28,78088.8251534727,48064008.4144588,WF
4,5335,AK5884115754320150622,COPENHAGEN CREEK,2015,6,22,60614.9743828894,80372063.5773509,WF
5,9684,AK5884415640120150621,PAULS CREEK,2015,6,21,95614.8327763482,146018425.835658,WF
6,3208,AK5890415740520150704,COPENHAGEN,2015,7,4,61727.1706737503,48542788.1690789,WF
7,15244,AK5899315855220121102,SNAKE RIVER,2012,11,2,100627.858379354,230897832.329648,WF
8,1526,AK5903315365920030428,KAMISHAK BAY,2003,4,28,54254.1475072027,23257709.659889,WF
9,1004,AK5905715603519900719,ALAGNAK,1990,7,19,24203.705217826,15320186.3858804,WF
10,11888,AK5919116014719910630,TWIN,1991,6,30,91880.6351165934,182818195.315309,WF
11,4415,AK6098515498920130728,WHITEFISH LAKE,2013,7,28,46400.1509979083,75666921.7996097,WF
12,3211,AK6102315407620050616,STONY,2005,6,16,50133.9333197097,55199655.6523472,WF
13,16077,AK6104215418920130618,KRISTIN CREEK,2013,6,18,168127.783220789,276828158.361478,WF
14,16920,AK5925816024020150622,GECHIAK LAKE,2015,6,22,128921.177121123,261640438.244936,WF
15,2234,AK5955415836020150711,LITTLE KOKWOK,2015,7,11,30505.0652760251,35121144.915255,WF
16,1924,AK5960815825420150621,KOKWOK RIVER,2015,6,21,42225.59140172,30326508.6429771,WF
17,5697,AK5975315141520050429,TRACY AVE,2005,4,29,70195.6087088417,90566986.8844144,WF
18,5295,AK5978615491320030523,ILIAMNA,2003,5,23,52466.4250528531,84341402.1453879,WF
19,2497,AK6000115759420130728,NUYAKUK RIVER,2013,7,28,35462.0779796593,40276366.9961057,WF
20,46686,AK6002415119720070619,CARIBOU HILLS,2007,6,19,280893.191174799,754280424.965379,WF
21,2689,AK6011915081019940830,WINDY POINT,1994,8,30,55075.8024963715,43694264.9957319,WF
22,5230,AK6012815061920040814,GLACIER CREEK,2004,8,14,163499.844971436,85040422.1271171,WF
23,9085,AK6015015550020130619,NIKUBUMA LAKE,2013,6,19,131487.997396505,147834796.722244,WF
24,25577,AK6015115098020050711,FOX CREEK WFU,2005,7,11,157014.784109663,416430868.462647,WFU
25,1617,AK6025715983220150620,LITTLE SWIFT CREEK,2015,6,20,32138.6896453579,26520234.0038383,WF
26,1986,AK6027615391520130627,CURRANT CREEK,2013,6,27,53973.9291856447,32630119.062353,WF
27,2419,AK6030315782720150623,KING SALMON RIVER 1,2015,6,23,44727.7006625382,39754490.8225706,WF
28,14474,AK6037615081420090630,SHANTA CREEK,2009,6,30,202723.247297974,238620975.893928,WFU
29,1986,AK6038615043820070729,SWAN LAKE,2007,7,29,37626.0140991204,32800320.0115927,RX
30,1067,AK6040215016520050706,IRISH CHANNEL,2005,7,6,34201.3502286952,17626498.0963855,WFU
31,3319,AK6041514945920010625,KENAI LAKE,2001,6,25,54356.002029685,54907058.2076964,WF
32,8769,AK6041515002719910519,POTHOLE,1991,5,19,161133.128041428,145074328.024608,WF
33,10124,AK6041715053220050626,KING COUNTY CREEK,2005,6,26,84042.6070308659,167522609.551085,WF
34,5712,AK6042816107220100531,HAWK RIVER,2010,5,31,50061.75386554,94574619.2679191,RX
